"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
1,0.115075039305265,0.114478214011519,0.114049745981618,0.11202281045294,0.119736736616287,0.68974860374582,0.726028859855514,0.686834694262538,0.692669167146006,0.696911187501447,0.115072509273526,0.698438502502265
2,0.113925257956571,0.114083442054664,0.113160484939569,0.111347146667118,0.118741625062314,0.700027645213212,0.729750878181336,0.693432875459547,0.701408861354006,0.71127062772628,0.114251591336047,0.707178177586876
3,0.114219431235558,0.113703894783301,0.113633912354471,0.110046260016999,0.117856580230508,0.702494243429134,0.735263226570785,0.694107254782812,0.710901645760443,0.718206381449903,0.113892015724167,0.712194550398615
4,0.113424960099223,0.113774433852881,0.113590087881315,0.109985130900832,0.117895838970793,0.712218991962379,0.734464682197773,0.694741862460522,0.711216734301862,0.717632438461573,0.113734090341009,0.714054941876822
5,0.112025694094094,0.113002752496901,0.111590025476943,0.109023374002924,0.116541376644827,0.718847540708324,0.740297338944857,0.704521883967637,0.720118260447395,0.724735744543784,0.112436644543138,0.721704153722399
6,0.112057891710019,0.11295877016483,0.111593982908195,0.108961649720326,0.116556652458717,0.718862495615008,0.740891975410923,0.703788173173134,0.720619367764837,0.724466442207434,0.112425789392417,0.721725690834267
7,0.11150835348332,0.11227813674314,0.111100710951094,0.108123788561281,0.116004433153997,0.727271853284674,0.74747926746421,0.711634053917311,0.73188284862909,0.732526929218166,0.111803084578567,0.73015899050269
8,0.111061527866621,0.111972099785166,0.110775834801571,0.107669755656334,0.115494464979087,0.730272341669198,0.748273358795069,0.713180692800332,0.734680826081679,0.734185596021312,0.111394736617756,0.732118563073518
9,0.110937472614879,0.111907726674592,0.11034896223791,0.107099894669348,0.115427206271203,0.730847678293466,0.74790033884544,0.716491084631454,0.736710541591687,0.733575096154744,0.111144252493586,0.733104947903358
10,0.110638627949505,0.111763627581952,0.110296704778589,0.107076729561912,0.115239481020628,0.733373562032312,0.748899477233563,0.716842292168159,0.736989129995022,0.736358394698115,0.111003034178517,0.734492571225434
