"","Code","Feature","Loading","SHORT_TITLE"
"1","5849","Cluster 1","0.55502260440466","Acute kidney failure NOS"
"2","0389",,"0.309370615310492","Septicemia NOS"
"3","5715",,"0.0187975115441247","Cirrhosis of liver NOS"
"4","5070",,"0.158672480437678","Food/vomit pneumonitis"
"5","486",,"0.17820941766803","Pneumonia, organism NOS"
"6","2875",,"0.114432035916403","Thrombocytopenia NOS"
"7","99592",,"0.346761395827762","Severe sepsis"
"8","07054",,"0.0147069060334336","Chrnc hpt C wo hpat coma"
"9","5712",,"0.0261820661551574","Alcohol cirrhosis liver"
"10","7895",,"0.00696139942589737",
"11","2762",,"0.22705473322404","Acidosis"
"12","51881",,"0.506633737805588","Acute respiratry failure"
"13","2760",,"0.107409287671628","Hyperosmolality"
"14","5845",,"0.0969667439890588","Ac kidny fail, tubr necr"
"15","78552",,"0.271532297017804","Septic shock"
"16","5723",,"0.0200133508778155","Portal hypertension"
"17","570",,"0.0299689497036929","Acute necrosis of liver"
"18","5722",,"0.0132781958186074","Hepatic encephalopathy"
"19","78959",,"0.0169336666048118","Ascites NEC"
"20","1983","Cluster 2","0.417657571954814","Sec mal neo brain/spine"
"21","1977",,"0.539451079838154","Second malig neo liver"
"22","1970",,"0.475090262675564","Secondary malig neo lung"
"23","1985",,"0.555737282680515","Secondary malig neo bone"
"24","29410","Cluster 3","0.724780763089427","Dementia w/o behav dist"
"25","3310",,"0.688979568242418","Alzheimer's disease"
"26","40390","Cluster 4","0.702787269037182","Hy kid NOS w cr kid I-IV"
"27","5859",,"0.708203871527992","Chronic kidney dis NOS"
"28","5853",,"0.0673597122323362","Chr kidney dis stage III"
"29","5715","Cluster 5","0.374020058995497","Cirrhosis of liver NOS"
"30","2875",,"-0.376829497319532","Thrombocytopenia NOS"
"31","07054",,"0.292627981600328","Chrnc hpt C wo hpat coma"
"32","5712",,"0.520952888098464","Alcohol cirrhosis liver"
"33","7895",,"0.138513175951695",
"34","5723",,"0.398212000479273","Portal hypertension"
"35","5722",,"0.264200480567416","Hepatic encephalopathy"
"36","78959",,"0.336934544111046","Ascites NEC"
"37","25060","Cluster 6","0.626464022057079","DMII neuro nt st uncntrl"
"38","3572",,"0.736935928011368","Neuropathy in diabetes"
"39","36201",,"0.253906020161187","Diabetic retinopathy NOS"
"40","41071","Cluster 7","0.0899145057323949","Subendo infarct, initial"
"41","4019",,"0.736160405603568","Hypertension NOS"
"42","4111",,"0.0929695114727801","Intermed coronary synd"
"43","41401",,"0.523735702803607","Crnry athrscl natve vssl"
"44","25000",,"0.254616249722944","DMII wo cmp nt st uncntr"
"45","2720",,"0.187117909245295","Pure hypercholesterolem"
"46","2724",,"0.237551813732262","Hyperlipidemia NEC/NOS"
"47","412",,"0.0904345101990605","Old myocardial infarct"
"48","4139",,"0.0508823250262328","Angina pectoris NEC/NOS"
"49","4280","Cluster 8","0.627550969643661","CHF NOS"
"50","4254",,"0.0634739785497738","Prim cardiomyopathy NEC"
"51","9971",,"0.129069206161135","Surg compl-heart"
"52","42731",,"0.744999171621207","Atrial fibrillation"
"53","4240",,"0.117103339983564","Mitral valve disorder"
"54","4168",,"0.076798572389035","Chr pulmon heart dis NEC"
"55","42823",,"0.0590801802348998","Ac on chr syst hrt fail"
"56","42832",,"0.0533175001147439","Chr diastolic hrt fail"
"57","42833",,"0.052013844898681","Ac on chr diast hrt fail"
"58","42822",,"0.0426419080072202","Chr systolic hrt failure"
"59","40391","Cluster 9","0.81139540096058","Hyp kid NOS w cr kid V"
"60","28521",,"0.24936799309837","Anemia in chr kidney dis"
"61","5856",,"0.488381362401489","End stage renal disease"
"62","25040",,"0.202328327668115","DMII renl nt st uncntrld"
"63","30391","Cluster 10","0.676052117446229","Alcoh dep NEC/NOS-contin"
"64","29181",,"0.736853808089821","Alcohol withdrawal"
"65","7843","Cluster 11","0.496512257533829","Aphasia"
"66","43411",,"0.751392792868855","Crbl emblsm w infrct"
"67","34290",,"0.434608385726049","Unsp hemiplga unspf side"
"68","9974","Cluster 12","0.546458409707968",
"69","5601",,"0.837486242549356","Paralytic ileus"
"70","431","Cluster 13","0.815479389548244","Intracerebral hemorrhage"
"71","3485",,"0.461597770203667","Cerebral edema"
"72","3314",,"0.143776005230299","Obstructiv hydrocephalus"
"73","430",,"0.213382839132128","Subarachnoid hemorrhage"
"74","3484",,"0.236044673841535","Compression of brain"
"75","5180","Cluster 14","0.507345422177529","Pulmonary collapse"
"76","5119",,"0.861742782154574","Pleural effusion NOS"
"77","7907","Cluster 15","0.93342548409418","Bacteremia"
"78","04111",,"0.242646873741224","Mth sus Stph aur els/NOS"
"79","99662",,"0.264271376253949","React-oth vasc dev/graft"
"80","4275","Cluster 16","0.946173940686209","Cardiac arrest"
"81","42741",,"0.323658576228609","Ventricular fibrillation"
"82","431","Cluster 17","-0.217134239379656","Intracerebral hemorrhage"
"83","3485",,"-0.12290768107339","Cerebral edema"
"84","3314",,"0.539971813343938","Obstructiv hydrocephalus"
"85","430",,"0.801390457316525","Subarachnoid hemorrhage"
"86","3484",,"-0.0628506144619962","Compression of brain"
"87","27801","Cluster 18","0.327792718629669","Morbid obesity"
"88","32723",,"0.944749667167642","Obstructive sleep apnea"
"89","99811","Cluster 19","0.162678395235509","Hemorrhage complic proc"
"90","2851",,"0.986679147303519","Ac posthemorrhag anemia"
"91","5990","Cluster 20","0.989076034084371","Urin tract infection NOS"
"92","0414",,"0.132168040395071",
"93","04104",,"0.0652702681016305","Enterococcus group d"
"94","4241","Cluster 21","0.995698074714804","Aortic valve disorder"
"95","4412",,"0.0926571314537205","Thoracic aortic aneurysm"
"96","2639","Cluster 22","1","Protein-cal malnutr NOS"
"97","78559","Cluster 23","1","Shock w/o trauma NEC"
"98","6826","Cluster 24","1","Cellulitis of leg"
"99","2763","Cluster 25","1","Alkalosis"
"100","2766","Cluster 26","1",
"101","2859","Cluster 27","1","Anemia NOS"
"102","2767","Cluster 28","1","Hyperpotassemia"
"103","2765","Cluster 29","1",
"104","45829","Cluster 30","1","Iatrogenc hypotnsion NEC"
"105","78057","Cluster 31","1","Sleep apnea NOS"
"106","78039","Cluster 32","1","Convulsions NEC"
"107","2948","Cluster 33","1","Mental disor NEC oth dis"
"108","73300","Cluster 34","1","Osteoporosis NOS"
"109","2749","Cluster 35","1","Gout NOS"
"110","5781","Cluster 36","1","Blood in stool"
"111","4271","Cluster 37","1","Parox ventric tachycard"
"112","78551","Cluster 38","1","Cardiogenic shock"
"113","60000","Cluster 39","1","BPH w/o urinary obs/LUTS"
"114","41041","Cluster 40","1","AMI inferior wall, init"
"115","53081","Cluster 41","1","Esophageal reflux"
"116","5939","Cluster 42","1","Renal & ureteral dis NOS"
"117","496","Cluster 43","1","Chr airway obstruct NEC"
"118","4538","Cluster 44","1",
"119","4928","Cluster 45","1","Emphysema NEC"
"120","49390","Cluster 46","1","Asthma NOS"
