"K","MSE_F1","MSE_F2","MSE_F3","MSE_F4","MSE_F5","MSE_TestAvg"
1,98.917668981588,116.627606492446,107.444537740182,104.986850271815,108.204113422845,107.236155381775
2,98.448845800371,116.506935331209,107.444511634663,104.988306825604,108.834915705046,107.244703059379
3,98.8361503304976,116.52039921669,108.194061194032,105.381419518544,108.482690760651,107.482944204083
4,98.8362117631289,116.553382095905,108.145376619939,105.317063701152,108.463064892995,107.463019814624
5,99.2822134934305,116.415834125992,108.577169735371,105.318934854473,108.455900735643,107.610010588982
6,99.2814508146812,116.415984993543,108.574392884951,105.341255112918,108.465432967,107.615703354619
7,98.4127776028543,115.900272296702,108.286667077679,105.129155736764,107.724182615625,107.090611065925
8,97.6899168619813,115.022697573938,107.229259663116,103.909432415055,107.077827393504,106.185826781519
9,97.5809298839377,114.741723501446,106.910408446335,103.79508784007,106.92302682706,105.99023529977
10,97.0710926552154,114.618918882884,106.927904776303,103.844270114205,106.590294177049,105.810496121131
11,94.9035632039621,114.426217318111,106.611056288127,102.520266216931,106.599367678374,105.012094141101
12,94.9865572689832,113.098758658441,103.639874924278,102.206818625708,106.606937094597,104.107789314401
13,94.5326399879458,113.037042304155,103.421344448079,102.342262964846,105.569373269597,103.780532594925
14,92.7419358369179,111.889008441229,101.784244055456,102.220733978823,103.638792898745,102.454943042234
15,92.7755187173512,108.807925384015,101.423487568909,101.158995258697,103.779120635114,101.589009512817
16,92.955738398327,108.156753850871,101.456210364369,99.8437867324414,103.595493134353,101.201596496072
17,93.0537501623699,108.350224513834,100.932220291795,99.9129189916469,103.58431844615,101.166686481159
18,93.045364984642,108.359819041597,98.4235541209628,99.8874343868099,101.014368897352,100.146108286273
19,92.8769268673169,106.865649661617,97.9435384477207,99.5229193105175,100.793359901229,99.6004788376802
20,91.0601093371804,106.401309863899,96.8020727913682,97.2308348094263,98.4782313627888,97.9945116329325
21,91.0435340258804,105.2780539128,95.5303500324471,95.8044298641142,98.2228844804343,97.1758504631352
22,88.4304410293039,104.266634809475,93.7879220458118,95.4988119542026,97.0071921077696,95.7982003893126
23,87.9624164080492,104.119208654148,93.8264848090223,95.2783757850886,96.7034636454001,95.5779898603417
24,87.8063014853252,104.245353774446,93.8919021631111,94.7316300668832,96.4658308458185,95.4282036671169
25,87.8190983986606,104.246778460272,93.7663637691207,95.0435100797579,96.5014124185341,95.4754326252691
26,87.6379310845606,104.160385579207,93.9375676469672,95.1016123788567,95.2478765562054,95.2170746491594
27,87.3095597902495,103.402314458801,93.6470698261069,95.2187141531128,94.6292864602372,94.8413889377015
28,87.4074559558523,103.435681104772,93.6913085776907,95.2172801600943,94.7824182406322,94.9068288078082
29,87.3809788734512,103.891936526163,93.6168454187207,94.4942952639147,94.6732646133611,94.8114641391222
30,87.6006626229248,103.892998387283,93.6065517824189,93.6925699482081,94.6296675406768,94.6844900563024
31,87.5723656291243,103.415204637373,93.4085724602012,93.6194354875383,95.0679770297814,94.6167110488037
32,87.6920527325244,103.408179338827,93.4379036535545,93.5530673737642,95.1284557614748,94.643931772029
33,87.5733157626651,103.367461197338,93.293660602419,93.4691061489592,94.7493792968711,94.4905846016504
34,87.5334495597184,103.146400340267,93.3742193821208,93.5304698973195,94.7913589359457,94.4751796230742
35,87.4737163535725,103.055996914251,93.3165229795158,93.5426929394234,94.8081546866327,94.439416774679
36,87.3874571964369,102.951952833544,93.1701117358193,93.644955355616,94.7627184786828,94.3834391200197
37,87.2966525677893,102.906093710782,93.1541193192872,93.6038945571584,94.700966123213,94.3323452556461
38,87.2839401759619,102.722676639834,93.0178516324714,93.3945519031165,94.4658322225146,94.1769705147796
39,87.2001845013911,102.432206303491,92.8314980524573,93.1994404259098,94.4892038639991,94.0305066294497
40,86.9423978326158,102.541107423219,92.8356959727543,92.9921350799059,94.4439239104037,93.9510520437796
41,86.8642754868729,102.034169711505,92.8055247117371,92.9953586403965,94.3012177289256,93.8001092558873
42,86.7366978018938,101.650810826995,93.6663980369393,92.8331851266861,94.2684486357484,93.8311080856524
43,86.7366591821366,101.559137006075,93.7695218944011,91.7396590973003,94.2282026040668,93.6066359567959
