"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
1,0.115090509282464,0.114478673988041,0.114021730591802,0.111920487926963,0.119736036108933,0.69005560661588,0.726001934484358,0.686464361562943,0.69305626650202,0.697125248332905,0.11504948757964,0.698540683499621
2,0.113925333433892,0.114082735590321,0.11313160666647,0.111243124229556,0.118752484051823,0.700421279721275,0.729863136267232,0.693156538588928,0.701826304198307,0.710972384527992,0.114227056794413,0.707247928660747
3,0.114231128009106,0.113703499432133,0.113606360894429,0.109946962646238,0.117858736611157,0.702555451725775,0.735245828638653,0.693540454500803,0.711588661913733,0.718201811840123,0.113869337518612,0.712226441723817
4,0.113437670875995,0.113773327078592,0.113562642276802,0.109884447296784,0.117897527461977,0.712170174874133,0.734442831223489,0.694145505108592,0.711778638536054,0.717674478871546,0.11371112299803,0.714042325722763
5,0.112032052562908,0.113001114337931,0.111580745998215,0.108932998514804,0.116539521170996,0.719060541307802,0.740391784862142,0.704330306341643,0.720788235873567,0.72489710254245,0.112417286516971,0.721893594185521
6,0.112064479440329,0.112957014755406,0.111584460355904,0.108869948316008,0.116554493990736,0.719034797504154,0.740894875066278,0.703648972413691,0.721172037024333,0.724666388022017,0.112406079371677,0.721883414006095
7,0.111502876885836,0.112275388006981,0.111108732739093,0.108091820858303,0.116006440033058,0.727254441500464,0.747579616251326,0.711695232705419,0.732167483742047,0.732576687191323,0.111797051704654,0.730254692278116
8,0.111059871126963,0.111971214681469,0.1108003435004,0.107672842627193,0.115505992912005,0.730373821393122,0.748603401709968,0.713517991127663,0.734554175000132,0.734500289814807,0.111402052969606,0.732309935809139
9,0.110938160171653,0.111912023490002,0.110387241385075,0.107139457626738,0.115443605599504,0.731093472866886,0.748261035259809,0.716802411856906,0.73647647895921,0.733860239804997,0.111164097654594,0.733298727749561
10,0.110643247062811,0.111770916961489,0.110333544945776,0.107118452591899,0.115267732586031,0.733545222996886,0.74942027604719,0.717114717073641,0.736782442466108,0.736758794061701,0.111026778829601,0.734724290529105
11,0.110635048246871,0.110187654292905,0.110085529584454,0.107116775958766,0.115226694476377,0.733654714277962,0.761108786784199,0.718827723140665,0.736711750933612,0.737738721492236,0.110650340511875,0.737608339325735
12,0.109081444565562,0.110205933420104,0.109813482737949,0.106859877818606,0.113268362428357,0.74973786184999,0.760892969578473,0.722219831576861,0.737839517248294,0.753151405997846,0.109845820194115,0.744768317250293
13,0.107865239390824,0.110005447226756,0.107188095909648,0.106039924178899,0.112285575375198,0.757297887640795,0.766823386134677,0.743463649585288,0.743328500363242,0.756854008482008,0.108676856416265,0.753553486441202
14,0.107598391807383,0.109516133340726,0.107456523419236,0.100938970599823,0.11224473199814,0.759735644250971,0.770409017099682,0.742317987128765,0.778202403380177,0.757288324504847,0.107550950233062,0.761590675272888
15,0.107669150123595,0.109438768559739,0.104512046547418,0.100937721432252,0.11168939603689,0.759202395006941,0.769815001988335,0.769348796896855,0.777191943232171,0.762831971995807,0.106849416539979,0.767678021824022
