"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
1,0.0654518354011098,0.0711230769503558,0.0700556695973235,0.0657517676112221,0.0672450585971126,0.635539878872518,0.645505101518203,0.617028910136059,0.620175108265863,0.643027622962384,0.0679254816314247,0.632255324351005
2,0.0650751406128731,0.0711847603691857,0.0700585427842784,0.0655240242917165,0.0671377178305776,0.659306079180545,0.6477722268396,0.617425209933564,0.635827825070113,0.652455001568319,0.0677960371777263,0.642557268518428
3,0.0650692618001617,0.071053783852558,0.0701663523025751,0.0654735166175958,0.0671511153780329,0.668341015252152,0.653501629192431,0.609085798247855,0.637278566402827,0.652984394882212,0.0677828059901847,0.644238280795495
4,0.0650603977007323,0.0709289762514325,0.069976528385947,0.0653858395406231,0.0672243802748137,0.668669737557122,0.656484484097707,0.614590547262372,0.642815025702082,0.663443165895291,0.0677152244307097,0.649200592102915
5,0.0650227801914127,0.0709277583470052,0.0698900454207101,0.0653851909271713,0.0672187276156388,0.669103341282735,0.657385953288272,0.619925124353873,0.642475610981889,0.663846545794234,0.0676889005003876,0.650547315140201
6,0.0650183349094134,0.0709307815413847,0.0699198737953013,0.0652504502486702,0.0672222138483355,0.66996808507643,0.657508483081164,0.617411714674679,0.648187971340515,0.664399909051188,0.067668330868621,0.651495232644795
7,0.0650154995562279,0.0707675931342182,0.0698712539865056,0.0653004950629913,0.0672008374519534,0.670223953508671,0.659724392245744,0.619016663024044,0.651977807444614,0.660069910051077,0.0676311358383793,0.65220254525483
8,0.0649503941942883,0.0707721355960345,0.0698569975172013,0.065312652636884,0.06730934247627,0.670348896140645,0.659322118507704,0.619236207845419,0.650782954373318,0.661035898756439,0.0676403044841356,0.652145215124705
9,0.0650530839196313,0.0707668804255395,0.0698774706680502,0.0653026389271908,0.0673024445386412,0.67687618079586,0.659510775490411,0.62047645505223,0.650744730400658,0.661582755885991,0.0676605036958106,0.65383817952503
10,0.065077867600464,0.0703351500080508,0.0699408150140304,0.0649773337554265,0.0666623562160859,0.677102837288794,0.671611402920747,0.618957744698667,0.662618936722337,0.676679710881395,0.0673987045188115,0.661394126502388
11,0.0650671246586921,0.0703291304306213,0.0695518264785215,0.0649894594609882,0.0666705296271538,0.677404811311989,0.669012669191602,0.632521467336207,0.662624245607428,0.674077602348233,0.0673216141311954,0.663128159159092
12,0.0650969480287383,0.0703036012442767,0.0695672793225311,0.0649610402234233,0.0667082454358558,0.67757832319245,0.66864896964762,0.63243786256165,0.662645835073468,0.674896689545407,0.067327422850965,0.663241536004119
13,0.0650976105521878,0.0703020030740304,0.0695325893037224,0.0650117002165183,0.0667505084013919,0.678095691274147,0.668895649997861,0.632217659434963,0.662771124761631,0.673331452263516,0.0673388823095701,0.663062315546424
14,0.0651325093640988,0.0702676612247781,0.0696112685238931,0.0650720019686668,0.0666948499034912,0.678468759414691,0.668913478406879,0.629276680455969,0.66078807921706,0.673135583585931,0.0673556581969856,0.662116516216106
15,0.0651240189416297,0.0702697184424929,0.069621828762643,0.065091024817442,0.066683930229449,0.678360358483288,0.668602615784171,0.628862935567709,0.657959859165896,0.67255071697524,0.0673581042387313,0.661267297195261
16,0.0651024067206608,0.0702711867940504,0.0696232060344556,0.0651199356643369,0.066745261127264,0.677577267339222,0.668977984832238,0.628649315494137,0.658011178388449,0.672027829788749,0.0673723992681535,0.661048715168559
17,0.0650901894682328,0.0702205206667838,0.0696592145818876,0.0650828742000451,0.0667523426745454,0.676464046085882,0.673733307746865,0.62616388379068,0.660584925880886,0.673362613189495,0.0673610283182989,0.662061755338762
18,0.0650903926585334,0.0701802289325542,0.0696546981692027,0.0650411308386703,0.0668207176955547,0.676456655113286,0.67558713813192,0.623936507769319,0.659394319917663,0.670906036453489,0.0673574336589031,0.661256131477135
19,0.0652815434186627,0.0701969071294968,0.0696145962404661,0.065036897941694,0.0668378114044095,0.675550733043701,0.674782266502948,0.625726439911208,0.659430420336286,0.66962193236093,0.0673935512269458,0.661022358431015
20,0.0652621720136065,0.0702140521745714,0.0696157217550429,0.0650659394940207,0.0668234939585017,0.67603642552856,0.673987443613605,0.626263946198024,0.658475882796806,0.667319790543789,0.0673962758791486,0.660416697736157
21,0.0652561873114005,0.0702036769360031,0.069577723484814,0.0650239433222318,0.0668171364873098,0.675974130188111,0.673469123140497,0.626553271382415,0.659834603454598,0.66752490477084,0.0673757335083518,0.660671206587292
22,0.065243870266459,0.0701933022837832,0.0695481115836744,0.0650079283246105,0.0668169264070229,0.67520370928278,0.67531484970327,0.627576606989096,0.660639076508821,0.670059555035674,0.06736202777311,0.661758759503928
