"K","MSE_F1","MSE_F2","MSE_F3","MSE_F4","MSE_F5","MSE_TestAvg"
1,97.4098934034416,114.370594252171,106.015375994981,101.510176408932,106.453640396733,105.151936091252
2,96.5970039969347,113.856600979646,105.996668288866,101.43531050763,106.393578836781,104.855832521972
3,96.49440776384,113.793252343949,105.81444715081,101.463588029235,105.74607919375,104.662354896317
4,96.4381341659204,113.813357273852,105.643979837667,101.176939999868,105.671276670554,104.548737589572
5,96.4026339590285,113.962388170266,105.577616065395,101.06968230204,105.672881651741,104.537040429694
6,96.3976014541683,113.962182782484,105.57190509203,101.103994496365,105.687562373301,104.544649239669
7,95.851186789225,113.123536821312,105.173084840253,100.830200553442,105.087916896124,104.013185180071
8,94.9769157040084,112.133751204424,103.820484641347,99.5299426532966,104.022942957817,102.896807432179
9,94.9346006196724,111.939397623167,103.74788457482,99.595459495451,103.915910962501,102.826650655122
10,94.9189870062993,111.924477333638,103.750446556548,99.6991258763406,103.877364753567,102.834080305279
11,92.8246183314196,111.293620870758,103.429230601383,98.379655261868,103.863757996996,101.958176612485
12,92.9068495381219,109.950529927346,100.938380695369,98.0276386108287,103.910327737168,101.146745301767
13,92.4026812647872,109.94876050058,100.444872608352,97.9034930707736,102.902700051201,100.720501499139
14,90.5247024268519,108.608684526593,98.5170399597759,97.9890251455965,101.431054434356,99.4141012986348
15,90.4515342684657,104.766476024478,98.4334450548569,97.0941853703325,101.347567154152,98.4186415744571
16,91.2208134111635,103.951161655477,98.4749276266865,96.1693964287497,101.255263851418,98.2143125946989
17,91.2568980012495,104.103897162248,97.9385226871453,96.0750263585667,101.251592625187,98.1251873668793
18,91.2336680203204,104.125123984321,95.7720272652775,96.0502211985765,99.4075651596725,97.3177211256336
19,90.9391019266091,102.848662237866,95.1642324856402,95.6725042995866,99.208066996571,96.7665135892545
20,90.2114167409354,102.901862108054,94.0684503711195,93.8526130718761,96.9358939526864,95.5940472489344
21,90.1984599759042,102.82799623817,94.0160785311323,93.9065866471133,96.5857695116487,95.5069781807937
22,88.0270891996891,101.549510435157,93.1189641414815,93.3925711656251,95.3444721819234,94.2865214247751
23,88.0570042210316,101.576162411834,93.1942558354476,93.2695870577267,95.1664973278838,94.2527013707847
24,87.8407045722598,101.646266311021,93.2235327048954,92.7527773215537,94.8745189775457,94.0675599774552
25,87.8492094328231,101.672528673876,93.2560434956324,92.8832800367768,94.8802172169845,94.1082557712185
26,87.6390342153337,101.926558160122,93.0970386878568,92.8858025289424,94.7373740394628,94.0571615263434
27,87.4056303845217,101.656071720364,93.0799579096718,92.9797261015711,94.6753360415099,93.9593444315278
28,87.503599733135,101.66115109277,93.0724805081631,92.9977907954308,94.8328636425428,94.0135771544083
29,87.4351226487436,101.65911064579,93.0681279952327,92.9986398624484,94.7051053987856,93.9732213102001
30,87.4395525396323,101.649516628971,93.052143625001,93.1324174032778,94.7002147146992,93.9947689823163
31,87.3911466323876,101.360041980576,92.8464554485206,93.1357708971062,94.6576234505991,93.8782076818379
32,87.3912491896891,101.332376733803,92.809015345717,93.0862556706194,94.6551472915211,93.8548088462698
33,87.2077374340093,101.328388185303,92.7377492399976,93.0027445686079,94.1212877391403,93.6795814334116
34,87.1758127631646,101.127171706859,92.8230035969896,93.0252908437923,94.1334379128418,93.6569433647294
35,87.0723349501961,100.935292334062,92.7698399862835,93.0437374144242,94.1174502786745,93.587730992728
36,87.0002286829667,100.937738693288,92.5853632614294,93.1494195720521,94.0844379956155,93.5514376410703
37,86.9610403138816,100.89048227872,92.5734853865745,93.1159001340794,94.0316372263105,93.5145090679133
38,86.9922769153535,101.021965152077,92.573389325974,93.0799318939697,93.9192458343864,93.5173618243521
39,86.9626738419358,100.860525093947,92.455068877993,92.9055681442991,93.9115288275261,93.4190729571402
40,86.6881867613104,100.94930163723,92.453947510111,92.7530630313792,93.8723842075392,93.3433766295139
41,86.6491451404688,100.553988106312,92.4596786646664,92.7416013105395,93.8582210133442,93.2525268470661
42,86.5429981839099,100.233069031154,93.1723935229288,92.728198954516,93.8682833589733,93.3089886102965
43,86.5444551386407,100.115605367598,93.1638904961354,91.6032594214995,93.7401221933008,93.0334665234349
44,86.5441711552047,100.119837492181,93.2072941853383,91.6386133638608,93.7440976572407,93.050802770765
45,86.7873925612192,100.138500726588,93.2174876550588,91.5774908680011,93.7377053956092,93.0917154412953
46,86.7679156811725,97.9930346494358,93.2303058754432,91.5775196011219,91.8100848204539,92.2757721255255
47,86.5279541080501,98.0044036026687,93.2585819245887,91.5285416694693,91.811403766203,92.226177014196
48,86.527940526589,98.0131534045254,93.1153486083657,91.5615138780419,91.8518462034203,92.2139605241885
49,86.6203441418259,98.0129443841914,93.0808981698023,91.551971656764,91.8497627585846,92.2231842222336
50,86.5826663199127,98.1309046947415,93.0782397523535,91.5823589612836,91.8263876471483,92.2401114750879
51,86.5606374062842,98.1351636328739,93.0214266401193,91.5813581922719,91.8288487108939,92.2254869164886
52,86.615167764286,98.1206034357312,92.698074155698,91.5168813350105,91.8146522969605,92.1530757975372
53,86.5702831690235,98.0656785343366,91.3928622919139,91.4756632239407,91.7234932260661,91.8455960890561
54,86.5779415238909,97.988660997692,93.218255049857,91.5236187383862,91.7542283503298,92.2125409320312
55,86.3565544686233,98.056891473988,94.8725071044693,86.6283492663407,91.7528752490266,91.5334355124896
56,86.4809158059275,98.1968444999787,95.0738381641632,88.6115292087181,91.7386301925525,92.020351574268
