"","Feature","Code","Loading"
"1","Cluster 1","5849","0.55502260440466"
"2",,"0389","0.309370615310492"
"3",,"5715","0.0187975115441247"
"4",,"5070","0.158672480437678"
"5",,"486","0.17820941766803"
"6",,"2875","0.114432035916403"
"7",,"99592","0.346761395827762"
"8",,"07054","0.0147069060334336"
"9",,"5712","0.0261820661551574"
"10",,"7895","0.00696139942589737"
"11",,"2762","0.22705473322404"
"12",,"51881","0.506633737805588"
"13",,"2760","0.107409287671628"
"14",,"5845","0.0969667439890588"
"15",,"78552","0.271532297017804"
"16",,"5723","0.0200133508778155"
"17",,"570","0.0299689497036929"
"18",,"5722","0.0132781958186074"
"19",,"78959","0.0169336666048118"
"20","Cluster 2","1983","0.417657571954814"
"21",,"1977","0.539451079838154"
"22",,"1970","0.475090262675564"
"23",,"1985","0.555737282680515"
"24","Cluster 3","29410","0.724780763089427"
"25",,"3310","0.688979568242418"
"26","Cluster 4","40390","0.70438710450958"
"27",,"5859","0.709816037435483"
"28","Cluster 5","5715","0.374020058995497"
"29",,"2875","-0.376829497319532"
"30",,"07054","0.292627981600328"
"31",,"5712","0.520952888098464"
"32",,"7895","0.138513175951695"
"33",,"5723","0.398212000479273"
"34",,"5722","0.264200480567416"
"35",,"78959","0.336934544111046"
"36","Cluster 6","25060","0.626464022057079"
"37",,"3572","0.736935928011368"
"38",,"36201","0.253906020161187"
"39","Cluster 7","41071","0.0900311270539321"
"40",,"4019","0.737115223724021"
"41",,"4111","0.0930900952117698"
"42",,"41401","0.524415000869027"
"43",,"25000","0.254946493250233"
"44",,"2720","0.187360605767749"
"45",,"2724","0.237859924267101"
"46",,"412","0.0905518059791583"
"47","Cluster 8","4280","0.629393787770465"
"48",,"9971","0.129448220909309"
"49",,"42731","0.747186879145103"
"50",,"4240","0.11744721668533"
"51",,"4168","0.0770240931963594"
"52",,"42823","0.0592536705684954"
"53",,"42832","0.0534740682031386"
"54",,"42833","0.0521665847729872"
"55","Cluster 9","40391","0.81139540096058"
"56",,"28521","0.24936799309837"
"57",,"5856","0.488381362401489"
"58",,"25040","0.202328327668115"
"59","Cluster 10","30391","0.676052117446229"
"60",,"29181","0.736853808089821"
"61","Cluster 11","7843","0.496512257533829"
"62",,"43411","0.751392792868855"
"63",,"34290","0.434608385726049"
"64","Cluster 12","9974","0.546458409707968"
"65",,"5601","0.837486242549356"
"66","Cluster 13","431","0.815479389548244"
"67",,"3485","0.461597770203667"
"68",,"3314","0.143776005230299"
"69",,"430","0.213382839132128"
"70",,"3484","0.236044673841535"
"71","Cluster 14","5180","0.507345422177529"
"72",,"5119","0.861742782154574"
"73","Cluster 15","4275","0.946173940686209"
"74",,"42741","0.323658576228609"
"75","Cluster 16","431","-0.217134239379656"
"76",,"3485","-0.12290768107339"
"77",,"3314","0.539971813343938"
"78",,"430","0.801390457316525"
"79",,"3484","-0.0628506144619962"
"80","Cluster 17","27801","0.327792718629669"
"81",,"32723","0.944749667167642"
"82","Cluster 18","7907","0.967833553887814"
"83",,"04111","0.251591359090258"
"84","Cluster 19","99811","0.162678395235509"
"85",,"2851","0.986679147303519"
"86","Cluster 20","5990","0.989076034084371"
"87",,"0414","0.132168040395071"
"88",,"04104","0.0652702681016305"
"89","Cluster 21","2639","1"
"90","Cluster 22","78559","1"
"91","Cluster 23","6826","1"
"92","Cluster 24","4254","1"
"93","Cluster 25","2763","1"
"94","Cluster 26","2766","1"
"95","Cluster 27","2859","1"
"96","Cluster 28","2767","1"
"97","Cluster 29","2765","1"
"98","Cluster 30","45829","1"
"99","Cluster 31","78057","1"
"100","Cluster 32","78039","1"
"101","Cluster 33","2948","1"
"102","Cluster 34","73300","1"
"103","Cluster 35","2749","1"
"104","Cluster 36","5781","1"
"105","Cluster 37","4271","1"
"106","Cluster 38","78551","1"
"107","Cluster 39","60000","1"
"108","Cluster 40","4241","1"
"109","Cluster 41","41041","1"
"110","Cluster 42","53081","1"
"111","Cluster 43","5939","1"
"112","Cluster 44","496","1"
"113","Cluster 45","4538","1"
"114","Cluster 46","4928","1"
"115","Cluster 47","49390","1"
"116","Cluster 48","4260","1"
"117","Cluster 49","42732","1"
"118","Cluster 50","71590","1"
"119","Cluster 51","2449","1"
"120","Cluster 52","3051","1"
"121","Cluster 53","42789","1"
"122","Cluster 54","41400","1"
"123","Cluster 55","9982","1"
"124","Cluster 56","70703","1"
"125","Cluster 57","5185","1"
"126","Cluster 58","5121","1"
"127","Cluster 59","48241","1"
"128","Cluster 60","78820","1"
"129","Cluster 61","4139","1"
"130","Cluster 62","4439","1"
"131","Cluster 63","2809","1"
"132","Cluster 64","311","1"
"133","Cluster 65","43310","1"
"134","Cluster 66","2761","1"
"135","Cluster 67","4589","1"
"136","Cluster 68","28529","1"
"137","Cluster 69","6930","1"
"138","Cluster 70","99591","1"
"139","Cluster 71","7140","1"
"140","Cluster 72","4148","1"
"141","Cluster 73","1120","1"
"142","Cluster 74","30500","1"
"143","Cluster 75","2768","1"
"144","Cluster 76","5533","1"
"145","Cluster 77","41011","1"
