"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
1,0.10834933622827,0.107329194940918,0.108981720145899,0.107048003266766,0.112316395492364,0.759472224251817,0.781082441344115,0.741185799218824,0.743206796589568,0.768928948457645,0.108804930014843,0.758775241972394
2,0.107399124775121,0.106329907719112,0.107508578439389,0.105229770889248,0.109133824107458,0.762671612895231,0.781343099648728,0.753749075254908,0.757419752467497,0.779781568590655,0.107120241186066,0.766993021771404
3,0.107371450152783,0.105292860633026,0.10750500593089,0.103581001424899,0.107439207462111,0.762999125351601,0.790916208244963,0.75406159780304,0.765232980821156,0.78526510032629,0.106237905120742,0.77169500250941
4,0.105218824787798,0.105330013310094,0.107103296936452,0.103219209639719,0.107258064470159,0.776131776655733,0.79048447027439,0.75592467119933,0.767518307237933,0.785691495692178,0.105625881828844,0.775150144211913
5,0.10532338987322,0.104949859127121,0.106217383573105,0.103217017156457,0.107297732107519,0.775721050825746,0.792922769750795,0.75949477404924,0.767772818742953,0.785713734459773,0.105401076367484,0.776325029565701
6,0.10533125715114,0.104946599383895,0.106222078392138,0.10316692689548,0.107316210142687,0.776205376160768,0.79334104503579,0.7592135472222,0.768304709309382,0.785756587244818,0.105396614393068,0.776564252994592
7,0.104649057666227,0.103855612924379,0.105344500161755,0.102017890336395,0.106057369441525,0.785466629407585,0.803626019021739,0.768450457569522,0.779149098226709,0.795866493468301,0.104384886106056,0.786511739538771
8,0.104592313609039,0.103729065294632,0.10544908809431,0.101962830596255,0.106001440948902,0.786275689859163,0.803688879407476,0.768001233573006,0.779117655336672,0.795512805671353,0.104346947708628,0.786519252769534
9,0.104563141682253,0.103716973669698,0.105460308705661,0.10192378911899,0.106033625141701,0.786496061091221,0.803457528333775,0.767889416569519,0.779246505221719,0.795348909000588,0.104339567663661,0.786487684043364
10,0.104489271611444,0.103783377468552,0.105402703761347,0.101808702170759,0.106143274361591,0.78715482473063,0.803282306303022,0.768096968053154,0.780349425056861,0.795055743146499,0.104325465874739,0.786787853458033
11,0.104486194274439,0.101831444417561,0.105097963344857,0.101810721292945,0.10603600894162,0.787206739620974,0.818876963480912,0.769132878154457,0.780445512769771,0.795932702036665,0.103852466454284,0.790318959212556
12,0.102619578409496,0.101831330910695,0.105110332780734,0.101463956163412,0.104358145023613,0.80735975822616,0.818881416523065,0.769206010169371,0.783197645169405,0.815649045032794,0.10307666865759,0.798858775024159
13,0.10230522724941,0.101805418264999,0.102745966130117,0.101088710918778,0.104366627995527,0.808548246024452,0.819400972627253,0.787767198085397,0.788158475683872,0.815584055027038,0.102462390111766,0.803891789489602
14,0.102302986829231,0.101824681285048,0.102725328830651,0.0969972369061784,0.104385515292162,0.808378507833594,0.819180391702015,0.787678635541333,0.81535723520689,0.815473267376601,0.101647149828654,0.809213607532087
15,0.102321335821053,0.101828794536691,0.100383735580126,0.0970984370355018,0.104241413598311,0.808245195522586,0.819173142563627,0.807200428229784,0.81463426861639,0.81621984006772,0.101174743314337,0.813094575000021
16,0.102383535577919,0.101744504917082,0.100234968685577,0.0970998038007148,0.101277201548907,0.808180782603085,0.819077453936903,0.808012160995621,0.814668789831325,0.833036714885189,0.10054800290604,0.816595180450425
17,0.0976337628236,0.0975930800460496,0.100357580654868,0.0970522724238061,0.101125754825756,0.827540336587948,0.83874509129772,0.808348807328762,0.816377480030467,0.83409818446357,0.0987524901548159,0.825021979941694
18,0.0975105074713022,0.09757321054171,0.100425007116378,0.0966354642156084,0.101140737003917,0.828254326561324,0.838563034365058,0.808457799024095,0.818257457022187,0.83376632924668,0.098656985269783,0.825459789243869
19,0.0975093568141279,0.0972377426838395,0.100357850058661,0.0964668775704687,0.101016271800759,0.828720812829088,0.839073270148462,0.808350980642727,0.819745607230369,0.834820487449414,0.0985176197855712,0.826142231660012
20,0.0972046235516128,0.0969980314035098,0.0999883289578013,0.0962830286838037,0.100873132098664,0.828358797266585,0.840242038374867,0.809419599119199,0.820429105298061,0.834842726217009,0.0982694289390783,0.826658453255144
21,0.0970170119410434,0.0970112820026205,0.0998646983838191,0.0963920316420624,0.0996003502322972,0.829408952178054,0.840256743769883,0.809950431055092,0.820902287811065,0.841346601043008,0.0979770748403685,0.82837300317142
22,0.0970188585049876,0.0969995673509538,0.0998562201843381,0.0964041812791835,0.0995975148038294,0.828981669129953,0.840186944923118,0.809925003281704,0.820877881092225,0.841209106562081,0.0979752684246585,0.828236120997816
