"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
1,0.0654188237716087,0.0708642264501005,0.0700957766337321,0.0653623155624321,0.0672482360818527,0.641221777043217,0.661944515397911,0.620586392039245,0.641199001080181,0.638392520829881,0.108804930014843,0.758775241972394
2,0.0650256602754991,0.0706568628693485,0.070120447892839,0.0651281137152536,0.0671512001730256,0.666547472568933,0.668893056774731,0.62038692552987,0.664626049212657,0.644593887527548,0.107120241186066,0.766993021771404
3,0.0650194342385111,0.070511990746883,0.0702133837819952,0.0649663708116249,0.0667833035163658,0.678544780847104,0.675129758402367,0.618822792109816,0.675478118191355,0.656195339969127,0.106237905120742,0.77169500250941
4,0.0649997703126961,0.0700849657604099,0.0701242789719465,0.0649172257264374,0.0667728102565723,0.679202225457044,0.688888103718552,0.623175506829259,0.680525098285159,0.669516464611461,0.105625881828844,0.775150144211913
5,0.0650095359627174,0.0700778939939886,0.0697016936005439,0.0649150041076448,0.0667644677425705,0.680115186548148,0.689398968675161,0.637645715880694,0.680442279677729,0.67021912637091,0.105401076367484,0.776325029565701
6,0.0650090840478313,0.0700863282325548,0.0697540510946669,0.0649145644860015,0.0667692671358695,0.680188392371953,0.689700430864023,0.635181020794548,0.680445818934457,0.670526626497608,0.105396614393068,0.776564252994592
7,0.0649806046084383,0.0700844974167819,0.0697603082790273,0.0649642056962523,0.0667769729654953,0.681119654919009,0.689591515492563,0.635166538077696,0.682178639028375,0.670074621857027,0.104384886106056,0.786511739538771
8,0.0649864500167377,0.0701170253496143,0.0696539349077215,0.0649607476481903,0.0667483826013341,0.681147811005088,0.688272213225179,0.637810950513873,0.682485846512346,0.670569772395118,0.104346947708628,0.786519252769534
9,0.0650866633760771,0.0701298109782661,0.069656520719127,0.064981901399039,0.0667146532813774,0.68429003021148,0.686975601660181,0.638907687162783,0.682983466008271,0.67187236758661,0.104339567663661,0.786487684043364
10,0.0650823236033766,0.0700505004205034,0.0697662954565706,0.0648071748857204,0.0664794130247578,0.684449112097826,0.688565247438868,0.637652298933809,0.68477645346656,0.675253499269259,0.104325465874739,0.786787853458033
11,0.0650557384528709,0.0700512680872727,0.069662581934757,0.0648118840608627,0.0665002961613437,0.685246633236007,0.688514031282051,0.636855091201618,0.684758049331576,0.676136278029424,0.103852466454284,0.790318959212556
12,0.0650364481325193,0.0700488931795872,0.0696996275613553,0.0648117030272361,0.0665387273897594,0.685649969169086,0.688475781240883,0.635860391875986,0.68449472863103,0.674938465731885,0.10307666865759,0.798858775024159
13,0.065030816944718,0.0700591636801082,0.0696957116524315,0.0648638554094602,0.0665586986274113,0.686369357168399,0.688356492976903,0.63599205293828,0.683660171894621,0.674108420846454,0.102462390111766,0.803891789489602
14,0.0650323646423423,0.0700628438561908,0.0696997032140911,0.0647823977492591,0.0665562594024547,0.686246174291804,0.687531199715783,0.635893965446871,0.685281859327286,0.674500158201624,0.101647149828654,0.809213607532087
15,0.0650248416375602,0.0700576288703546,0.0697881893075065,0.0647825650248134,0.0665475062862538,0.686925439868455,0.688195064837061,0.631483978165329,0.686063327212779,0.675089133945412,0.101174743314337,0.813094575000021
16,0.0649823068032584,0.0700638573133514,0.0697898072504421,0.064786375262751,0.0666062315055601,0.687155615872149,0.686694236950577,0.631747300289918,0.68617941483345,0.673950904077767,0.10054800290604,0.816595180450425
