"K","BS_F1","BS_F2","BS_F3","BS_F4","BS_F5","AUC_F1","AUC_F2","AUC_F3","AUC_F4","AUC_F5","BS_TestAvg","AUC_TestAvg"
1,0.0654188237716087,0.0708642264501005,0.0700957766337321,0.0653623155624321,0.0672482360818527,0.641221777043217,0.661944515397911,0.620586392039245,0.641199001080181,0.638392520829881,0.0677978756999452,0.640668841278087
2,0.0650256602754991,0.0706568628693485,0.070120447892839,0.0651281137152536,0.0671512001730256,0.666547472568933,0.668893056774731,0.62038692552987,0.664626049212657,0.644593887527548,0.0676164569851932,0.653009478322748
3,0.0650194342385111,0.070511990746883,0.0702133837819952,0.0649663708116249,0.0667833035163658,0.678544780847104,0.675129758402367,0.618822792109816,0.675478118191355,0.656195339969127,0.067498896619076,0.660834157903954
4,0.0649997703126961,0.0700849657604099,0.0701242789719465,0.0649172257264374,0.0667728102565723,0.679202225457044,0.688888103718552,0.623175506829259,0.680525098285159,0.669516464611461,0.0673798102056124,0.668261479780295
5,0.0650095359627174,0.0700778939939886,0.0697016936005439,0.0649150041076448,0.0667644677425705,0.680115186548148,0.689398968675161,0.637645715880694,0.680442279677729,0.67021912637091,0.0672937190814931,0.671564255430528
6,0.0650090840478313,0.0700863282325548,0.0697540510946669,0.0649145644860015,0.0667692671358695,0.680188392371953,0.689700430864023,0.635181020794548,0.680445818934457,0.670526626497608,0.0673066589993848,0.671208457892518
7,0.0649806046084383,0.0700844974167819,0.0697603082790273,0.0649642056962523,0.0667769729654953,0.681119654919009,0.689591515492563,0.635166538077696,0.682178639028375,0.670074621857027,0.067313317793199,0.671626193874934
8,0.0649864500167377,0.0701170253496143,0.0696539349077215,0.0649607476481903,0.0667483826013341,0.681147811005088,0.688272213225179,0.637810950513873,0.682485846512346,0.670569772395118,0.0672933081047196,0.672057318730321
9,0.0650866633760771,0.0701298109782661,0.069656520719127,0.064981901399039,0.0667146532813774,0.68429003021148,0.686975601660181,0.638907687162783,0.682983466008271,0.67187236758661,0.0673139099507773,0.673005830525865
10,0.0650823236033766,0.0700505004205034,0.0697662954565706,0.0648071748857204,0.0664794130247578,0.684449112097826,0.688565247438868,0.637652298933809,0.68477645346656,0.675253499269259,0.0672371414781858,0.674139322241264
11,0.0650557384528709,0.0700512680872727,0.069662581934757,0.0648118840608627,0.0665002961613437,0.685246633236007,0.688514031282051,0.636855091201618,0.684758049331576,0.676136278029424,0.0672163537394214,0.674302016616135
12,0.0650364481325193,0.0700488931795872,0.0696996275613553,0.0648117030272361,0.0665387273897594,0.685649969169086,0.688475781240883,0.635860391875986,0.68449472863103,0.674938465731885,0.0672270798580915,0.673883867329774
13,0.065030816944718,0.0700591636801082,0.0696957116524315,0.0648638554094602,0.0665586986274113,0.686369357168399,0.688356492976903,0.63599205293828,0.683660171894621,0.674108420846454,0.0672416492628258,0.673697299164931
14,0.0650323646423423,0.0700628438561908,0.0696997032140911,0.0647823977492591,0.0665562594024547,0.686246174291804,0.687531199715783,0.635893965446871,0.685281859327286,0.674500158201624,0.0672267137728676,0.673890671396674
15,0.0650248416375602,0.0700576288703546,0.0697881893075065,0.0647825650248134,0.0665475062862538,0.686925439868455,0.688195064837061,0.631483978165329,0.686063327212779,0.675089133945412,0.0672401462252977,0.673551388805807
16,0.0649823068032584,0.0700638573133514,0.0697898072504421,0.064786375262751,0.0665978807139633,0.687155615872149,0.686694236950577,0.631747300289918,0.68617941483345,0.67264385732542,0.0672440454687532,0.672884085054303
17,0.0649726090088761,0.0700273999678577,0.0698135286005369,0.0647520673394391,0.0665841579326309,0.687130275394678,0.686674787777102,0.62929511300469,0.688038940318222,0.673100655954613,0.0672299525698681,0.672847954489861
18,0.0649697474141715,0.0699763148558814,0.0697883329367891,0.0647003569044309,0.066604390615412,0.687135202709742,0.689206421857759,0.628027875280109,0.687760046888073,0.671029652874133,0.067207828545337,0.672631839921963
19,0.0651185493762634,0.0699746399032432,0.0697611350877895,0.0647037867557566,0.0665982715087014,0.686648102420579,0.688250819134356,0.628908687786856,0.687744474158471,0.671251546061327,0.0672312765263508,0.672560725912318
20,0.0650108024201907,0.0699755071726002,0.0697634491994645,0.0646968842929944,0.0665261973942299,0.689064598508291,0.688269620002049,0.628721070773087,0.687865516738561,0.670487932160952,0.0671945680958959,0.672881747636588
21,0.0650125905106499,0.0699720975383119,0.0696970131860377,0.0646531517742287,0.0665165677956478,0.688807674222822,0.687802191532867,0.629382667611115,0.68957426988673,0.670207826254895,0.0671702841609752,0.673154925901686
22,0.0650000632745,0.0699076874605011,0.0696955731365893,0.0646362783925505,0.0665863453827379,0.687879931186526,0.687749030458702,0.629819782337932,0.690500847298061,0.672159322047828,0.0671651895293758,0.67362178266581
23,0.0650021821294278,0.0699685986490639,0.0697263800198852,0.0645836831127083,0.0665140173805806,0.68777082635297,0.688196361448626,0.628555177834597,0.691745249963546,0.671353931960974,0.0671589722583332,0.673524309512143
24,0.0650075255412886,0.06992570763025,0.0696972395513761,0.0645838798371043,0.0665282664168264,0.687685654192582,0.68866703144672,0.628219442125747,0.691830899976358,0.670811526392277,0.0671485237953691,0.673442910826737
25,0.0649831453067404,0.0699488210048112,0.0696976454196657,0.0645791105137766,0.0665298322194909,0.687585700087002,0.688016132441092,0.62799693493047,0.691952650407793,0.670637573091205,0.0671477108928969,0.673237798191512
26,0.0649566105532854,0.069996382905582,0.0697587859442329,0.0645798902994505,0.0665386627762639,0.687389311386603,0.687976585788359,0.625266942803801,0.691969638840086,0.670509505109707,0.0671660664957629,0.672622396785711
27,0.0649426290969833,0.0699957210729108,0.0697552653970191,0.0645444994812693,0.0665012629738063,0.688809082027126,0.687978530705707,0.625349889273047,0.692053873150207,0.671341604561686,0.0671478756043978,0.673106595943554
28,0.064940833242923,0.0700043443567976,0.0697575709476207,0.0645509376319828,0.0664490166255757,0.688820344461557,0.684620955058147,0.625102366475934,0.691727553679907,0.672859244385212,0.06714054056098,0.672626092812151
29,0.0648594950632075,0.070027051338124,0.0697606939326564,0.0645501328871167,0.0664450583926312,0.690407643814249,0.683863733904188,0.62486340164787,0.691751620625656,0.672246298698364,0.0671284863227471,0.672626539738065
30,0.064862227716271,0.070043112735905,0.0698051898030276,0.0645202409300945,0.0664051623941041,0.690573060819962,0.682928228660043,0.62646176694412,0.692467258336011,0.671626504456355,0.0671271867158804,0.672811363843298
31,0.064862356271622,0.0700631029443481,0.0698208788105877,0.0645109942048932,0.0664037955848824,0.69087644264746,0.683396305435007,0.625297224848129,0.692239330202743,0.67177580295885,0.0671322255632667,0.672717021218438
32,0.0648753226715524,0.0700699598020461,0.0698063469935536,0.064530348864116,0.0664364543579345,0.690912341657211,0.6831298517584,0.627579569362997,0.691581736302723,0.670637573091205,0.0671436865378405,0.672768214434507
33,0.0648747418000031,0.0700385713394364,0.0698103320483058,0.0644984311061403,0.066555086845503,0.69060825592756,0.684088696010715,0.627628942261358,0.691622791680765,0.669358262987258,0.0671554326278777,0.672661389773531
34,0.0648658869546808,0.0700404049223973,0.0697942126363457,0.0644468329326623,0.0665573303044216,0.689410214464908,0.683822242334108,0.630491912060943,0.693523372543579,0.669660969125344,0.0671409335501015,0.673381742105776
35,0.0649177317031197,0.0699330447973163,0.0699109112190957,0.0644489372940888,0.0665568169985712,0.688132632059083,0.686930220255407,0.625279450604719,0.693745637866083,0.66953221628833,0.0671534884024383,0.672724031414724
36,0.0649164715775032,0.0699637901201794,0.0698088504873068,0.0646077926528002,0.0665566384177302,0.688029862344895,0.684493238818994,0.626418318793563,0.690363524137023,0.669101442168746,0.067170708651104,0.671681277252644
37,0.0649158024758969,0.0699500302701768,0.0697919765433384,0.0646078388896277,0.0665591811937264,0.688231178360359,0.686031668440863,0.625513807295603,0.690383343974699,0.66901788979579,0.0671649658745533,0.671835577573463
38,0.065019928666935,0.0699199127659469,0.069699793278378,0.064606840189286,0.0665704373355128,0.685468362413878,0.686481592653918,0.625698791088126,0.690405995217756,0.669002822974437,0.0671633824472117,0.671411512869623
39,0.0650881160810826,0.0699211063538505,0.0697066486860128,0.0646050407907597,0.0665703200704403,0.68401480447006,0.686179482159273,0.625570421552389,0.68993244266758,0.668951458810735,0.0671782463964292,0.670929721932008
40,0.0650883382360882,0.0699202018457723,0.0697159499417321,0.0646267616194415,0.0666299707748104,0.684010581057148,0.685948036994921,0.625508540853111,0.690754258079769,0.671252573344602,0.0671962444835689,0.67149479806591
41,0.0650839283229038,0.069997135112407,0.0697157797515534,0.0646334710077219,0.0665864153392467,0.684291438015784,0.681197900526554,0.625584904269242,0.690435017122924,0.671683347464185,0.0672033459067665,0.670638521479738
42,0.0650804615252988,0.0700255174497677,0.0697315001641119,0.0646350786406081,0.066583521603813,0.685093182566878,0.681489638128678,0.625757380260847,0.689904128613758,0.671824427700488,0.0672112158767199,0.67081375145413
43,0.0649303742900008,0.0700267544980255,0.0697319667885966,0.0645772584652596,0.0664356967624494,0.692010077063208,0.679950560201027,0.625779762641437,0.69133540403447,0.67307360416173,0.0671404101608664,0.672429881620374
44,0.0649298841984352,0.0700359980348643,0.0697255462699017,0.064647119079511,0.0668018818152271,0.692032601932071,0.679737267598585,0.625401237087341,0.689374655807283,0.66561792458645,0.0672280858795879,0.670432737402346
45,0.0649412535718189,0.0700343650636945,0.0697418588177627,0.0646502785246261,0.0668167460534942,0.691182992034643,0.679366436690995,0.62459481308079,0.688689455704786,0.665530263080398,0.0672369004062793,0.669872792118323
46,0.0649416606191534,0.0700343919261872,0.0697412540971893,0.0646063251545904,0.066825526994791,0.691196366175531,0.67939885198012,0.624650110726953,0.688871373500594,0.665852830028449,0.0672298317583822,0.669993906482329
47,0.0649434349815708,0.070035342785397,0.0696968933368801,0.064609407074803,0.06682707814859,0.691145333269513,0.67938069941821,0.62462180359856,0.689093638823098,0.666043219861906,0.0672224312654482,0.670056938994257
48,0.0649587518475291,0.0700435685626853,0.0697159226344368,0.0646093009157895,0.0668195795015091,0.690932050917466,0.679077940617784,0.62467117649692,0.689719379412568,0.666112390269025,0.06722942469239,0.670102587542753
49,0.0650154871906245,0.0701009756649779,0.0697356692189209,0.0646195004877335,0.0668993966033353,0.689384170085285,0.675298317905817,0.623303218059685,0.689454643009331,0.664134527538725,0.0672742058331184,0.668314975319768
